time_ms,CH1_raw,CH4_raw,Diff_C1_C4,Temp_C
332277,9848,9893,-45.00,23751
332301,9531,9475,56.00,23735
332325,9781,9581,200.00,23751
332349,10142,9418,724.00,23751
332373,9684,9490,194.00,23750
332397,9870,9591,279.00,23751
332421,9812,9341,471.00,23750
332445,9755,9546,209.00,23750
332469,10149,9528,621.00,23750
332493,9624,9521,103.00,23750
332517,9819,9593,226.00,23751
332541,9602,9377,225.00,23751
332565,9676,9435,241.00,23750
332589,9968,9666,302.00,23751
332613,9591,9485,106.00,23752
332637,9851,9568,283.00,23751
332661,9482,9513,-31.00,23750
332685,9676,9561,115.00,23735
332709,9912,9397,515.00,23751
332733,9659,9464,195.00,23751
332757,9682,9963,-281.00,23751
332781,9731,9324,407.00,23735
332805,9736,9464,272.00,23751
332829,9771,9312,459.00,23751
332853,9732,9466,266.00,23751
332877,9798,9780,18.00,23751
332901,9696,9330,366.00,23751
332925,9547,9722,-175.00,23751
332949,10016,9450,566.00,23735
332973,9641,9449,192.00,23750
332997,9743,9721,22.00,23751
333021,9533,9434,99.00,23750
333046,9789,9682,107.00,24333
333071,9735,9318,417.00,23724
333095,9522,9188,334.00,23751
333119,9943,9521,422.00,23752
333143,9493,9208,285.00,23751
333167,9756,9533,223.00,23750
333191,9672,9280,392.00,23751
333215,9750,9282,468.00,23751
333239,9523,9529,-6.00,23751
333263,9502,9191,311.00,23735
333287,9754,9502,252.00,23750
333311,9729,9249,480.00,23751
333335,9520,9670,-150.00,23751
333359,9938,9612,326.00,23735
333383,9505,9194,311.00,23750
333407,9618,9533,85.00,23750
333431,10075,9304,771.00,23751
333455,9434,9472,-38.00,23750
333479,9608,9560,48.00,23735
333503,9578,9401,177.00,23751
333527,9698,9494,204.00,23751
333551,9837,9185,652.00,23750
333575,9416,9545,-129.00,23751
333599,9774,9367,407.00,23735
333623,9480,9270,210.00,23751
333647,9634,9550,84.00,23751
333671,9750,9292,458.00,23750
333695,9403,9414,-11.00,23751
333719,10018,9597,421.00,23735
333743,9448,9268,180.00,23750
333767,9735,9515,220.00,23751
333791,9761,9275,486.00,23751
333815,9621,9542,79.00,23751
333839,9627,9496,131.00,23750
333863,9434,9187,247.00,23750
333887,9655,9643,12.00,23750
333911,9678,9186,492.00,23751
333935,9612,9590,22.00,23750
333959,9781,9380,401.00,23751
333983,9458,9294,164.00,23750
334007,9585,9535,50.00,23751
334031,9737,9308,429.00,23777
334056,9945,9634,311.00,23994
334081,9849,9370,479.00,23722
334105,9788,9381,407.00,23751
334129,9843,9616,227.00,23751
334153,9585,9393,192.00,23750
334177,9728,9904,-176.00,23751
334201,9471,9395,76.00,23735
334225,9710,9570,140.00,23751
334249,9753,9676,77.00,23751
334273,9692,9463,229.00,23750
334297,9649,9692,-43.00,23751
334321,9590,9513,77.00,23735
334345,9581,9831,-250.00,23751
334369,9729,9453,276.00,23735
334393,9537,9506,31.00,23751
334417,9818,9752,66.00,23751
334441,9442,9353,89.00,23796
334465,9799,9402,397.00,23682
334489,9773,9601,172.00,23751
334513,9557,9485,72.00,23752
334537,9844,9730,114.00,23751
334561,9557,9526,31.00,23750
334585,9719,9530,189.00,23751
334609,9880,9558,322.00,23752
334633,9700,9528,172.00,23751
334657,9661,9629,32.00,23750
334681,9663,9288,375.00,23750
334705,9625,9685,-60.00,23751
334729,9728,9424,304.00,23735
334753,9575,9404,171.00,23750
334777,9994,9606,388.00,23751
334801,9578,9393,185.00,23750
334825,9802,9476,326.00,23751
334849,9860,9599,261.00,23751
334873,9749,9467,282.00,23751
334897,9930,9852,78.00,23751
334921,9527,9274,253.00,23751
334945,9781,9848,-67.00,23751
334969,9979,9458,521.00,23735
334993,9590,9571,19.00,23751
335017,9760,9948,-188.00,23751
335041,9526,9399,127.00,23735
335066,9810,9414,396.00,24330
335091,9707,9250,457.00,23724
335115,9617,9399,218.00,23752
335139,9677,9613,64.00,23751
335163,9473,9236,237.00,23750
335187,9694,9522,172.00,23751
335211,9933,9315,618.00,23751
335235,9603,9432,171.00,23751
